exemplar,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
cycle_consistency_3ex,0.9484732228419864,0.8844488381534283,0.9229096032798315,0.9582065648729508,0.9181093908174197,0.8927643108426707,0.6803128772991657,0.6421179928870143,0.8777041316789943,0.942172326848728,0.5650478918754042,0.768763759717495,0.8325378197553402,0.7931175204481299,0.8784648480190974,0.8212251012061519,0.8186467273012163,0.6762230307879978,0.900374851421371,0.6705311203662827,0.6349174688100305,0.5708075210188245,0.8569758484996474,0.627996080692451,0.6176010650609931,0.6055040076438114,0.5669037786115152,0.5102836936107414,0.4138925110055231,0.4063780672285416,0.3959637745376865,0.2990948445493896,0.3050108932461872,0.31347953216374275
equally_spaced_3ex,0.9484732228419864,0.8833156568692893,0.6853665414657478,0.6814830273186866,0.3371111168167149,0.32427813783241943,0.6727665216594784,0.6472021402942478,0.7431683449614233,0.42207952909350405,0.5747341387445093,0.9439489686877347,0.7389637958053926,0.7994635192768035,0.8058990670512828,0.807301220580833,0.8060346048196769,0.7196618601344791,0.8789465938179938,0.8422675853652019,0.694394956868566,0.7975330112310802,0.9592076701484092,0.8483345323952219,0.8460811324527304,0.6911834146269284,0.6309540570085898,0.7045987395392322,0.6792502833876622,0.717938320168682,0.7732256503341012,0.8663290691275249,0.8191219522071793,0.9088729096618834
hausdorff_delta_3ex,0.9484732228419864,0.884180222238529,0.8801790308344022,0.6862258335320807,0.45342929017299244,0.45203550792386205,0.6707006686210851,0.6405855886013212,0.7898556503477362,0.5564790868367598,0.545453886706594,0.7120280426044189,0.8369055538260445,0.9261263878748087,0.8619599339462639,0.8556647571337911,0.7597376867436029,0.7403115335179615,0.9026394157765436,0.7841449294820079,0.7020449213338745,0.797790329387508,0.8642332189143724,0.9507385367298412,0.8475685609088357,0.6989557048514369,0.5407277417619648,0.6488788356396143,0.6607545497183996,0.6602069966945253,0.5033046236242603,0.5855278480711069,0.8255860763183622,0.8987405447514375
local_topology_distortion_3ex,0.9484732228419864,0.8844488381534283,0.9229096032798315,0.9582065648729508,0.9181093908174197,0.8927643108426707,0.6803128772991657,0.6421179928870143,0.8777041316789943,0.942172326848728,0.5650478918754042,0.768763759717495,0.8325378197553402,0.7931175204481299,0.8784648480190974,0.8212251012061519,0.8186467273012163,0.6762230307879978,0.900374851421371,0.6705311203662827,0.6349174688100305,0.5708075210188245,0.8569758484996474,0.627996080692451,0.6176010650609931,0.6055040076438114,0.5669037786115152,0.5102836936107414,0.4138925110055231,0.4063780672285416,0.3959637745376865,0.2990948445493896,0.3050108932461872,0.31347953216374275
many_one_collapse_3ex,0.9484732228419864,0.8969710915873024,0.8984244358954139,0.6888359684951572,0.3421131943228943,0.32713069498163544,0.6600511242410784,0.6445990698963077,0.8556558430018956,0.434620090565087,0.5606110243230874,0.48987157697418765,0.4536408378981138,0.49990820399982105,0.49290531806909293,0.5198519900659433,0.5160117321601171,0.673652011043647,0.6279091529660231,0.6939144251968797,0.6307854060404913,0.5774482367324407,0.7687295528490039,0.7377189504429779,0.7402661240327086,0.9507718700101768,0.9443278376360422,0.7306865747008704,0.6722170210933983,0.7033832454489536,0.7056189728661648,0.7674029884633663,0.8407070607469415,0.9113364591842564
random_1_3ex,0.9484732228419864,0.888955880406949,0.9030179898227534,0.6862258335320807,0.3098104981188716,0.3256827438429291,0.6732337559020741,0.6479257442975642,0.717377916950341,0.4010805739781263,0.38415166656887556,0.488267081702078,0.5598344316673368,0.5858007069114317,0.5764470665017161,0.6565484097639038,0.9521817077352602,0.9694813574722595,0.8960042170787824,0.8087208350426054,0.7123952886219606,0.8067052821648297,0.8584043064695127,0.8367142861108935,0.8407619930977638,0.692714734965377,0.46276969824321945,0.5350563180097804,0.48630456095225744,0.49175722707578645,0.5104678068251239,0.5749150816599494,0.5992832485939371,0.6041783758037625
random_2_3ex,0.9484732228419864,0.8972397075022011,0.9169507774421565,0.6935172959085896,0.44460981968121427,0.32856051191605684,0.6790116932870832,0.6393727014939208,0.716842970408475,0.942172326848728,0.562734638863356,0.7737269807202972,0.7555677812468399,0.7668617791569848,0.8035171138982041,0.8196905965800237,0.80705994150787,0.6724524867643961,0.8904838303363197,0.6336226408501984,0.6358486054286389,0.6716137337644397,0.8571281389479907,0.7390550309679296,0.6140972112697546,0.709167475799387,0.6416292087526385,0.9099342652417595,0.7251543205500409,0.7089796959866156,0.7094237364095973,0.7678170368572479,0.8513591227776258,0.9136390300920031
random_3_3ex,0.9484732228419864,0.902611315124962,0.9158327577946981,0.9582065648729508,0.9143705554944148,0.9039138538511339,0.6783158257118536,0.6409412489739579,0.818651861812821,0.4409954199753854,0.5635275379385253,0.48303941829400604,0.35255197978835,0.5183594099299484,0.4932020460490216,0.5139682231260094,0.5183656761589163,0.6686077152579468,0.5983723940710169,0.6478341704815019,0.6324044374485014,0.5691726072377821,0.46249175205773013,0.6961769866557203,0.6288871965986395,0.692387581772131,0.9443278376360422,0.7267389896263912,0.7174431272081779,0.7396358774773724,0.7792177084118737,0.8709956110169038,0.828884148783073,0.9133832428099874
first_frame_only_1ex,0.9484732228419864,0.8813867840543405,0.8962418110206465,0.6823653213891121,0.7200647948350394,0.4529653610619529,0.6707006686210851,0.635277083778037,0.7935432199634681,0.30346980438691573,0.2755160223514653,0.2724218144223312,0.2766774277986218,0.2816901408450704,0.27674700884341974,0.2811398185076006,0.27071917808219165,0.6590505343837718,0.4295654265750925,0.6193331764277493,0.615742959056695,0.4358722164315328,0.32514165050400384,0.3017041051777594,0.3263589835219061,0.31739579592203604,0.5635049192689281,0.27607534843524556,0.42971839390991223,0.27086218836565124,0.24908125765618658,0.2777309270815766,0.5787383932761775,0.5777089783281729
alternate_frames_17ex,0.9484732228419864,0.8849923018788454,0.9473297553296093,0.7629706944997224,0.9660725289304078,0.6396770906703787,0.9552286455920677,0.7037555734905404,0.9617526854397864,0.7453846418691018,0.940042787640469,0.7521104191709371,0.9399325531224344,0.839782087505993,0.9307369868627742,0.8626635585337583,0.9521817077352602,0.7461008872966288,0.9575176015603093,0.8556200489247229,0.9184664357572848,0.9224536751859501,0.9592076701484092,0.8575010236948858,0.9559430887754337,0.7245256443993605,0.9443278376360422,0.7849572450382413,0.9192463400789722,0.8382880184526985,0.9508807543251113,0.8946162952877618,0.9417957006403589,0.920108389008818
