exemplar,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
cycle_consistency_8ex,0.9108744217765832,0.9336280025181057,0.8509048661266186,0.8425548007741778,0.796579360908651,0.8585281136049071,0.7046310372133023,0.8861592510479229,0.9328054298642534,0.9452157015157394,0.9647953779489647,0.9437575229810382,0.6010026303273843,0.844534532795376,0.8079069088076343,0.8480515079634026,0.8065362353180108,0.8003073407147636,0.7812667261373765,0.7681011856276587,0.7641366223908923,0.645436960639432,0.8812382739212006,0.8873080397470638,0.9126116071428576,0.8187230603448283,0.4700998007542877,0.7742465867465875,0.7117272228069367,0.627452535829499,0.6265765896372757,0.44609743490340426,0.420743639921722,0.39041095890410843,0.5933479155944419,0.5818425760286231,0.5866654871431946,0.6636830727315788,0.479166666666666,0.39313026155131425,0.3700000047683716,0.6134276970160677,0.5995436587645573,0.6102042493425768,0.6393147794634785,0.424935777982076,0.42215536038080853,0.4041167100270589,0.4040187994639079,0.6109122272430473,0.6056082129688067,0.40393491586049396,0.6250764370158983,0.4615315596262614,0.5829673047599183,0.6065096123919648,0.7183212650853097,0.7499143602974615,0.8048566219035477,0.8210968784976999,0.8380263291707436,0.800347293156282,0.7612590583572327,0.8153450990656456,0.7742651649669781,0.7717042763724419,0.7980261259839757,0.7977090352537366,0.7912328687340647,0.734826524386513,0.7774709587277105,0.773388529606516,0.8183376320825371,0.664443938719347,0.7773095660302797,0.7883097398452711,0.7289531045131747,0.7343825858938775,0.735014662756598,0.7320421928460089,0.7233461728712527
equally_spaced_8ex,0.9108744217765832,0.9097850852670543,0.865680220276012,0.8807513115339706,0.8830480927646539,0.8704290925800605,0.6784324137594,0.9012221608476748,0.928112957890338,0.9452157015157394,0.93693260144873,0.9419864626491967,0.5916598384530618,0.5740883678682457,0.7959476572393407,0.8403592002710945,0.8017101847263195,0.786390063169299,0.7812667261373765,0.7480382869347026,0.839926686217009,0.6522924310026204,0.6912601626016266,0.8212094214846734,0.8344557145328612,0.8455369971264359,0.8094344468747933,0.8254748801704244,0.698682781097229,0.6181578896808773,0.8058049673903345,0.4764057360748225,0.4048706293106079,0.4023529291152954,0.4464285671710968,0.5959939531368106,0.42462843656539917,0.7051268178670351,0.5261755187511906,0.5518671659645301,0.6800746749554614,0.8174447404084305,0.8227575613344305,0.8274896165362703,0.8267682072829119,0.7670235391658551,0.8223879295307863,0.6619486504279128,0.6773792565228063,0.6990933499357951,0.849466056445461,0.7536585365853661,0.7140689655172405,0.4827993909517924,0.6674833318785814,0.6796239629953784,0.832908634465054,0.8132164527857096,0.8799049496723917,0.8278050778050788,0.8691508119962071,0.7764666732345956,0.8390986931964628,0.8702971300031203,0.8352259368293478,0.852461335940573,0.8926760361564181,0.9025254758700242,0.8950380501851088,0.785804603346835,0.8255713932938983,0.8162940454475264,0.840210512838167,0.8413045254611515,0.7967568332961094,0.7867210152788897,0.8599131575320512,0.8731257411049899,0.8843027612843724,0.8317117554191369,0.8207459207459206
hausdorff_delta_8ex,0.9108744217765832,0.9163301998065587,0.8728579406320268,0.8794142366317349,0.8826971069477088,0.872947548333323,0.6662059571939837,0.7760117231372368,0.928112957890338,0.9297318305479976,0.93693260144873,0.9350008597193222,0.5916598384530618,0.5740883678682457,0.8198607007176013,0.9005208160777123,0.8017101847263195,0.8182784395266323,0.7812667261373765,0.7515903732372438,0.7794071020925808,0.6290353496942379,0.6942864843013076,0.8212094214846734,0.8255179866058531,0.8364383658094376,0.7915717367330377,0.763629691759278,0.6517098593560355,0.4113396406173706,0.3812636137008667,0.43545010685920715,0.4048706293106079,0.3791574239730835,0.4352678656578064,0.6075059301931552,0.42462843656539917,0.42442643642425537,0.297539593383114,0.38455074032147724,0.6800746749554614,0.8025954308849049,0.7888215060299215,0.8420784759527153,0.7864941910499141,0.8774281274281274,0.781294501582279,0.721097976357443,0.6884266207534999,0.7264516129032257,0.849466056445461,0.8649414527877999,0.8894981684981682,0.547631025314331,0.6687074275671421,0.6605711140214381,0.8100670600670595,0.8202825648557773,0.8493678294494105,0.8265984983217992,0.8463021120500179,0.8023573573573577,0.8220297744032595,0.824228085118488,0.8174348288957874,0.7888802302208363,0.8041173708262331,0.8844242141300959,0.86968105839789,0.7828107600628269,0.7544654073308044,0.8134895939604166,0.8403013550478825,0.8658463224083173,0.8073654663291293,0.7850312994288334,0.8279609827227334,0.8508990095032583,0.8610363298163833,0.8500226753903227,0.8454999652560633
local_topology_distortion_8ex,0.9108744217765832,0.9336280025181057,0.8509048661266186,0.8425548007741778,0.796579360908651,0.8585281136049071,0.7046310372133023,0.8861592510479229,0.9328054298642534,0.9452157015157394,0.9647953779489647,0.9437575229810382,0.6010026303273843,0.844534532795376,0.8079069088076343,0.8480515079634026,0.8065362353180108,0.8003073407147636,0.7812667261373765,0.7681011856276587,0.7641366223908923,0.645436960639432,0.8812382739212006,0.8873080397470638,0.9126116071428576,0.8187230603448283,0.4700998007542877,0.7742465867465875,0.7117272228069367,0.627452535829499,0.6265765896372757,0.44609743490340426,0.420743639921722,0.39041095890410843,0.5933479155944419,0.5818425760286231,0.5866654871431946,0.6636830727315788,0.479166666666666,0.39313026155131425,0.3700000047683716,0.6134276970160677,0.5995436587645573,0.6102042493425768,0.6393147794634785,0.424935777982076,0.42215536038080853,0.4041167100270589,0.4040187994639079,0.6109122272430473,0.6056082129688067,0.40393491586049396,0.6250764370158983,0.4615315596262614,0.5829673047599183,0.6065096123919648,0.7183212650853097,0.7499143602974615,0.8048566219035477,0.8210968784976999,0.8380263291707436,0.800347293156282,0.7612590583572327,0.8153450990656456,0.7742651649669781,0.7717042763724419,0.7980261259839757,0.7977090352537366,0.7912328687340647,0.734826524386513,0.7774709587277105,0.773388529606516,0.8183376320825371,0.664443938719347,0.7773095660302797,0.7883097398452711,0.7289531045131747,0.7343825858938775,0.735014662756598,0.7320421928460089,0.7233461728712527
many_one_collapse_8ex,0.9108744217765832,0.9336280025181057,0.8509048661266186,0.8425548007741778,0.796579360908651,0.8585281136049071,0.7046310372133023,0.8861592510479229,0.9328054298642534,0.9452157015157394,0.9647953779489647,0.9437575229810382,0.6010026303273843,0.844534532795376,0.8079069088076343,0.8480515079634026,0.8065362353180108,0.8003073407147636,0.7812667261373765,0.7681011856276587,0.7641366223908923,0.645436960639432,0.8812382739212006,0.8873080397470638,0.9126116071428576,0.8187230603448283,0.4700998007542877,0.7742465867465875,0.7117272228069367,0.627452535829499,0.6265765896372757,0.44609743490340426,0.420743639921722,0.39041095890410843,0.5933479155944419,0.5818425760286231,0.5866654871431946,0.6636830727315788,0.479166666666666,0.39313026155131425,0.3700000047683716,0.6134276970160677,0.5995436587645573,0.6102042493425768,0.6393147794634785,0.424935777982076,0.42215536038080853,0.4041167100270589,0.4040187994639079,0.6109122272430473,0.6056082129688067,0.40393491586049396,0.6250764370158983,0.4615315596262614,0.5829673047599183,0.6065096123919648,0.7183212650853097,0.7499143602974615,0.8048566219035477,0.8210968784976999,0.8380263291707436,0.800347293156282,0.7612590583572327,0.8153450990656456,0.7742651649669781,0.7717042763724419,0.7980261259839757,0.7977090352537366,0.7912328687340647,0.734826524386513,0.7774709587277105,0.773388529606516,0.8183376320825371,0.664443938719347,0.7773095660302797,0.7883097398452711,0.7289531045131747,0.7343825858938775,0.735014662756598,0.7320421928460089,0.7233461728712527
random_1_8ex,0.9108744217765832,0.8770595125695322,0.9090083207469695,0.9255903679866812,0.8640289156545045,0.8547409969086822,0.6905494690863317,0.8983602079857219,0.9184622225962203,0.9452157015157394,0.9450758286815185,0.9097019286570536,0.8430741884803858,0.8307709813639454,0.8198607007176013,0.8403592002710945,0.7864633643903071,0.786390063169299,0.7732158786797495,0.7358360386308351,0.7492260061919507,0.6573047788793582,0.6721216889588247,0.8212094214846734,0.8596723911616717,0.8214958370738059,0.787455027603748,0.7289520958083833,0.3898051083087921,0.4288266897201538,0.4376237690448761,0.4218422770500183,0.41692790389060974,0.4285714328289032,0.46296295523643494,0.7056856187290961,0.79940476190476,0.7073745100518398,0.5965403992640621,0.521250000000001,0.5744266707099814,0.815988288027762,0.8174529642120345,0.8435421914123732,0.7805934873949567,0.7186999453521024,0.7717209690893911,0.6703519086571237,0.659634648979146,0.6845003933910292,0.7384817902588854,0.728130081300813,0.6510971786833858,0.4458981553713481,0.6645000345027309,0.7370610080927067,0.8573253513012545,0.8014285015974209,0.8499997256392614,0.8185458185458193,0.8380761518097045,0.7980873755695835,0.8263020862780568,0.8445947524224909,0.8607732582642619,0.8524613359405734,0.8838431562830215,0.9022097489899986,0.9191410516461223,0.7754183651124955,0.7855370199146422,0.8124161131799174,0.849570923669166,0.8326657946814482,0.8471001221001225,0.8220746873447049,0.8747518383270828,0.8752117817868594,0.8862231226717207,0.8689132065668331,0.8140003550208625
random_2_8ex,0.9108744217765832,0.9228753143460632,0.8675358323441952,0.8875889183715774,0.869927295648164,0.8510873439559044,0.6864703895443162,0.9256784196512983,0.9207600167138672,0.9315772730164783,0.9450758286815185,0.9328889501706062,0.5801637177565389,0.5740883678682457,0.8127658538169293,0.8403592002710945,0.7864633643903071,0.795372099097443,0.7812667261373765,0.7480382869347026,0.839926686217009,0.6444017799542855,0.693778297064408,0.8873080397470638,0.8596723911616717,0.85138089454507,0.8174799568300968,0.7909478051976409,0.6538549766171589,0.5882469724042085,0.5991801570207738,0.4218422889043964,0.41692790389060974,0.654532277339295,0.4464285671710968,0.7511574074074066,0.6971351065237537,0.6667139828904539,0.7023619351894128,0.38153595725695294,0.804698536372241,0.8980654761904767,0.8550049472295511,0.8696909654533248,0.8180803571428572,0.7736454988086587,0.515498161315918,0.6673380738751388,0.6819109336500977,0.6880459857051006,0.7177469918399335,0.7513858093126387,0.749323308270677,0.4543359875679016,0.7073769528409409,0.7340768926649647,0.8578566594130792,0.8573683060588079,0.8969451779039558,0.8657066157066161,0.8236951869653456,0.7795452465975606,0.8640540195939916,0.8441138576134305,0.8489712242071201,0.8686941741069577,0.8735698936503483,0.9085714285714284,0.8921917769956984,0.7710043277588872,0.7724998679115385,0.8138747544152193,0.8609539552255009,0.8387222649011733,0.8054951911488933,0.8002419195889924,0.8761599944139439,0.8603726565961916,0.8937092475826955,0.8610966735966737,0.8181262278823253
random_3_8ex,0.9108744217765832,0.9048037217182351,0.8704944536616738,0.8833962856075158,0.8664028216803109,0.8957595367922998,0.6819285554872142,0.8459059200603315,0.9207600167138672,0.9452157015157394,0.9450758286815185,0.9419864626491967,0.5830487594242346,0.5780310507525459,0.8504117259552031,0.9005208160777123,0.7864633643903071,0.8182784395266323,0.7812667261373765,0.8019455389811431,0.7794071020925808,0.6444017799542855,0.7154246956834213,0.8212094214846734,0.8255179866058531,0.8364383658094376,0.8228763475678271,0.7542152537031201,0.6677973754435516,0.5690081826369677,0.6331037451571246,0.4239130434782603,0.4048706293106079,0.3791574239730835,0.4352678656578064,0.5808608884878711,0.41489362716674805,0.4355955719947815,0.26102086901664734,0.5237023305084744,0.718258186705766,0.8966899087774429,0.848039520288324,0.8343539991103724,0.8499649859943977,0.538796861966451,0.5451455116271973,0.6987261417859578,0.6819346695226447,0.6741018342820982,0.758473256015233,0.7423809523809517,0.6834586466165413,0.5329291423161825,0.7257343709189715,0.7343017558362818,0.8804972433291014,0.833812434846687,0.887238374738375,0.8397943397943406,0.8312483947763556,0.8814955071055337,0.8278824686873271,0.8736544936558333,0.871600747088552,0.8357232726022229,0.8528544945199851,0.9207936507936502,0.9286747862523422,0.7948998547890254,0.8255713932938983,0.8341125890255516,0.8483517062739078,0.8215234869250931,0.8144528625642881,0.8148240631490521,0.8984823260822444,0.8919743881979233,0.8948194548034163,0.8420270653932086,0.7908021399711836
first_frame_only_1ex,0.9108744217765832,0.9442356354017676,0.8613705908780575,0.8896852347536078,0.8876852187678493,0.8623621565017716,0.6899470313299391,0.8549868331676307,0.9475113122171948,0.9378967688600852,0.9399133365430911,0.9290672270833127,0.5968283415687052,0.5771043888562883,0.8399721261989386,0.8331330930449874,0.7909192358300436,0.8182784395266323,0.7832053026645005,0.7820045760490477,0.7431929646541524,0.6290353496942379,0.693778297064408,0.8212094214846734,0.8346828279037233,0.85138089454507,0.8228763475678271,0.763629691759278,0.6677973754435516,0.5623478619471477,0.5511004300531246,0.4239130434782603,0.39972813049736117,0.365493367158183,0.5236416997817199,0.5786713286713292,0.5757912408038313,0.7381333578701992,0.19607843458652496,0.26727716727716744,0.0,0.29403409361839294,0.2831004559993744,0.2895442247390747,0.29671332240104675,0.26958104968070984,0.28605201840400696,0.2745424211025238,0.29139071702957153,0.3253234624862671,0.3010948896408081,0.3257918655872345,0.34439462423324585,0.27004220088322956,0.40947826703389484,0.4107424219449361,0.526056706905365,0.5237677693367004,0.5594546794891357,0.5976252754529318,0.5694176355997721,0.5203472971916199,0.5201242963473002,0.5620196859041849,0.5411099791526794,0.5265068014462789,0.584983209768931,0.5811781684557596,0.5777777830759684,0.5492406686147054,0.5364934404691061,0.536550501982371,0.5841269890467325,0.5095517635345459,0.5345274209976196,0.5554984410603842,0.5107712944348654,0.5071072181065878,0.49501466751098633,0.5101055900255839,0.5134009718894958
alternate_frames_41ex,0.9108744217765832,0.8715507527143753,0.8674953384255711,0.8577764028447765,0.9005240575950643,0.8702624434253424,0.6856462638870043,0.8690252370776855,0.9324212858220204,0.9374737660318684,0.93693260144873,0.9514569513824606,0.8430741884803858,0.837712270676884,0.8504117259552031,0.8397915960691298,0.8610111200275123,0.815804405216911,0.8818688670829635,0.768622869825144,0.839926686217009,0.6522924310026204,0.8812382739212006,0.809172384447636,0.9126116071428576,0.8305944683908044,0.4700998007542877,0.8191906669209742,0.7117272228069367,0.7050405943387352,0.8058049673903345,0.43545010685920715,0.45916667580604553,0.4285714328289032,0.8011463046757165,0.704212454212454,0.79940476190476,0.67478843441467,0.3962401747703552,0.5836134453781523,0.6800746749554614,0.8374612687540772,0.8816804407713508,0.8713936502983153,0.8163077731092434,0.5046092867851257,0.5569813052813212,0.7061098950173504,0.8241292660121555,0.7308323169449467,0.849466056445461,0.8589438943894385,0.8894981684981682,0.5252102216084799,0.7537826544928526,0.7544395105970668,0.8533065796223687,0.8271362125528784,0.8499997256392614,0.8345618345618359,0.8691508119962071,0.7980873755695835,0.8640540195939916,0.8791397921577176,0.871600747088552,0.847245635430269,0.8838431562830215,0.8887651500099342,0.870183629007158,0.7817993513236231,0.8255713932938983,0.7988521108165997,0.869000820048043,0.8418820447736107,0.8471001221001225,0.8148240631490521,0.8666048571804423,0.8910582645987694,0.8784013715034443,0.8418260660907714,0.8609973738354865
